instance,hvns,dabc,acols-lowEva,ils-neh,dabc-tuned,hvns-tuned
f2inter-100-m2const-bufcount-big-1-1-normal,7709,7709,7709,7709,7709,7709
f2inter-100-m2const-bufcount-big-1-2-normal,7574,7574,7574,7574,7574,7574
f2inter-100-m2const-bufcount-big-1-3-normal,7549,7549,7549,7549,7549,7549
f2inter-100-m2const-bufcount-mid-1-1-normal,5028,5028,5028,5028,5028,5028
f2inter-100-m2const-bufcount-mid-1-2-normal,5023,5023,5023,5023,5023,5023
f2inter-100-m2const-bufcount-mid-1-3-normal,5026,5026,5026,5026,5026,5026
f2inter-100-m2const-bufcount-small-1-1-normal,2578,2578,2578,2578,2578,2578
f2inter-100-m2const-bufcount-small-1-2-normal,2501,2501,2501,2501,2501,2501
f2inter-100-m2const-bufcount-small-1-3-normal,2673,2673,2673,2673,2673,2673
f2inter-100-m2const-bufm1-big-67-3-normal,7641,7637.66666666667,7644.66666666667,7629.66666666667,7638.33333333333,7647
f2inter-100-m2const-bufm1-big-69-2-normal,7667,7666.33333333333,7672,7656.66666666667,7667,7666.33333333333
f2inter-100-m2const-bufm1-big-70-1-normal,7754.33333333333,7749,7749,7749,7749,7753.66666666667
f2inter-100-m2const-bufm1-mid-41-2-normal,5156,5149,5151.66666666667,5135,5145.66666666667,5153
f2inter-100-m2const-bufm1-mid-42-3-normal,5119.66666666667,5111.66666666667,5115.66666666667,5099.66666666667,5109.66666666667,5114.33333333333
f2inter-100-m2const-bufm1-mid-43-1-normal,5095.66666666667,5084.33333333333,5087.33333333333,5073,5085,5090.33333333333
f2inter-100-m2const-bufm1-small-17-2-normal,2553.33333333333,2550,2557.66666666667,2542.33333333333,2552.66666666667,2553.33333333333
f2inter-100-m2const-bufm1-small-18-1-normal,2658.33333333333,2652,2651.66666666667,2643.66666666667,2652,2658.33333333333
f2inter-100-m2const-bufm1-small-20-3-normal,2704.66666666667,2703,2703,2701.33333333333,2703,2708
f2inter-150-m2const-bufcount-big-1-1-normal,11541,11541,11541,11541,11541,11541
f2inter-150-m2const-bufcount-big-1-2-normal,11303,11303,11303,11303,11303,11303
f2inter-150-m2const-bufcount-big-1-3-normal,11505,11505,11505,11505,11505,11505
f2inter-150-m2const-bufcount-mid-1-1-normal,7528,7528,7528,7529,7528,7528
f2inter-150-m2const-bufcount-mid-1-2-normal,7698,7698,7698,7698,7698,7698
f2inter-150-m2const-bufcount-mid-1-3-normal,7784,7784,7784,7784,7784,7784
f2inter-150-m2const-bufcount-small-1-1-normal,4052,4052,4052,4052,4052,4052
f2inter-150-m2const-bufcount-small-1-2-normal,3776,3776,3778,3776,3776,3776
f2inter-150-m2const-bufcount-small-1-3-normal,3926,3926,3926,3926,3926,3926
f2inter-150-m2const-bufm1-big-69-2-normal,11416.3333333333,11403,11442,11395.3333333333,11406,11415
f2inter-150-m2const-bufm1-big-69-3-normal,11580.3333333333,11560,11560,11560,11560,11576.3333333333
f2inter-150-m2const-bufm1-big-70-1-normal,11590.3333333333,11586,11586,11586,11586,11592
f2inter-150-m2const-bufm1-mid-43-1-normal,7667.66666666667,7660,7676,7643,7657.66666666667,7664.33333333333
f2inter-150-m2const-bufm1-mid-43-2-normal,7827.66666666667,7813,7813,7813,7813,7824
f2inter-150-m2const-bufm1-mid-46-3-normal,7813.33333333333,7806,7806,7806,7806,7810.33333333333
f2inter-150-m2const-bufm1-small-19-2-normal,3895.66666666667,3891.66666666667,3894,3877.66666666667,3889,3904.66666666667
f2inter-150-m2const-bufm1-small-20-3-normal,4007.66666666667,3995,3995,3993.66666666667,3995,4006.33333333333
f2inter-150-m2const-bufm1-small-21-1-normal,4100.33333333333,4097,4097,4094.33333333333,4097,4102.66666666667
f2inter-50-m2const-bufcount-big-1-1-normal,3929,3929,3929,3929,3929,3929
f2inter-50-m2const-bufcount-big-1-2-normal,3925,3925,3925,3925,3925,3925
f2inter-50-m2const-bufcount-big-1-3-normal,3886,3886,3886,3886,3886,3886
f2inter-50-m2const-bufcount-mid-1-1-normal,2523,2523,2523,2523,2523,2523
f2inter-50-m2const-bufcount-mid-1-2-normal,2555,2555,2555,2555,2555,2555
f2inter-50-m2const-bufcount-mid-1-3-normal,2528,2528,2528,2528,2528,2528
f2inter-50-m2const-bufcount-small-1-1-normal,1254,1254,1254,1254,1254,1254
f2inter-50-m2const-bufcount-small-1-2-normal,1347,1347,1347,1347,1347,1347
f2inter-50-m2const-bufcount-small-1-3-normal,1357,1357,1357,1357,1357,1357
f2inter-50-m2const-bufm1-big-71-1-normal,3944,3944,3944,3944,3944,3944
f2inter-50-m2const-bufm1-big-71-2-normal,3937,3937,3937,3937,3937,3937
f2inter-50-m2const-bufm1-big-71-3-normal,3897.66666666667,3896,3896,3896.66666666667,3896,3897
f2inter-50-m2const-bufm1-mid-43-1-normal,2548.33333333333,2549.66666666667,2547,2547,2549.33333333333,2550
f2inter-50-m2const-bufm1-mid-44-2-normal,2594,2594,2592,2592,2594.33333333333,2594.66666666667
f2inter-50-m2const-bufm1-mid-44-3-normal,2578.33333333333,2577.33333333333,2574,2574,2576.33333333333,2579.33333333333
f2inter-50-m2const-bufm1-small-13-1-normal,1293.66666666667,1293.33333333333,1282,1281,1294,1293.33333333333
f2inter-50-m2const-bufm1-small-20-2-normal,1356.33333333333,1356,1354,1354.33333333333,1356,1356.33333333333
f2inter-50-m2const-bufm1-small-21-3-normal,1367.66666666667,1367,1367,1367,1367,1367
f2total-100-m2const-bufcount-big-3-1-normal,7709,7709,7709,7709,7709,7709
f2total-100-m2const-bufcount-big-3-2-normal,7574,7574,7574,7574,7574,7574
f2total-100-m2const-bufcount-big-3-3-normal,7549,7549,7549,7549,7549,7549
f2total-100-m2const-bufcount-mid-3-1-normal,5028,5028,5028,5028,5028,5028
f2total-100-m2const-bufcount-mid-3-2-normal,5023,5023,5023,5023,5023,5023
f2total-100-m2const-bufcount-mid-3-3-normal,5026,5026,5026,5026,5026,5026
f2total-100-m2const-bufcount-small-3-1-normal,2578,2578,2578,2578,2578,2578
f2total-100-m2const-bufcount-small-3-2-normal,2501,2501,2501,2501,2501,2501
f2total-100-m2const-bufcount-small-3-3-normal,2673,2673,2673,2673,2673,2673
f2total-100-m2const-bufm1-big-170-1-normal,7997,7997,7997,7997,7997,7997
f2total-100-m2const-bufm1-big-171-2-normal,7939,7939,7939,7939,7939,7939
f2total-100-m2const-bufm1-big-177-3-normal,7934,7934,7934,7934,7934,7934
f2total-100-m2const-bufm1-mid-115-1-normal,5341,5341,5339,5339,5341,5339.66666666667
f2total-100-m2const-bufm1-mid-121-3-normal,5375.33333333333,5382.33333333333,5378.33333333333,5374.66666666667,5380,5376.66666666667
f2total-100-m2const-bufm1-mid-122-2-normal,5441.66666666667,5448.66666666667,5446.66666666667,5435.33333333333,5445.66666666667,5440.33333333333
f2total-100-m2const-bufm1-small-64-2-normal,2681.66666666667,2679.66666666667,2715.66666666667,2647,2677,2681.66666666667
f2total-100-m2const-bufm1-small-71-1-normal,2717,2717.66666666667,2766.33333333333,2677,2708,2721
f2total-100-m2const-bufm1-small-75-3-normal,2696.66666666667,2706.33333333333,2752.33333333333,2679.33333333333,2703,2696.33333333333
f2total-150-m2const-bufcount-big-3-1-normal,11541,11541,11541,11541,11541,11541
f2total-150-m2const-bufcount-big-3-2-normal,11303,11303,11303,11303,11303,11303
f2total-150-m2const-bufcount-big-3-3-normal,11505,11505,11505,11505,11505,11505
f2total-150-m2const-bufcount-mid-3-1-normal,7528,7528,7528,7529.33333333333,7528,7528
f2total-150-m2const-bufcount-mid-3-2-normal,7698,7698,7698,7698,7698,7698
f2total-150-m2const-bufcount-mid-3-3-normal,7784,7784,7784,7784,7784,7784
f2total-150-m2const-bufcount-small-3-1-normal,4052,4052,4052,4052,4052,4052
f2total-150-m2const-bufcount-small-3-2-normal,3776,3776,3778,3776,3776,3776
f2total-150-m2const-bufcount-small-3-3-normal,3926,3926,3926,3926,3926,3926
f2total-150-m2const-bufm1-big-170-3-normal,12058,12058,12058,12058,12058,12058
f2total-150-m2const-bufm1-big-174-1-normal,11955,11955,11955,11955,11955,11955
f2total-150-m2const-bufm1-big-179-2-normal,11800,11800,11800,11800,11800,11800
f2total-150-m2const-bufm1-mid-119-1-normal,8059.33333333333,8062.66666666667,8058.66666666667,8057.33333333333,8061.66666666667,8058
f2total-150-m2const-bufm1-mid-125-2-normal,8219.33333333333,8228,8228,8213,8229,8218
f2total-150-m2const-bufm1-mid-133-3-normal,8102.33333333333,8105.66666666667,8113.33333333333,8097.66666666667,8107,8102.33333333333
f2total-150-m2const-bufm1-small-68-3-normal,4192.66666666667,4181.66666666667,4265.66666666667,4136.33333333333,4174.66666666667,4184.66666666667
f2total-150-m2const-bufm1-small-71-2-normal,4017,3977.33333333333,4110.66666666667,3930.66666666667,3981.66666666667,4016.66666666667
f2total-150-m2const-bufm1-small-76-1-normal,4109.66666666667,4098,4226.33333333333,4059.66666666667,4089.33333333333,4101
f2total-50-m2const-bufcount-big-3-1-normal,3929,3929,3929,3929,3929,3929
f2total-50-m2const-bufcount-big-3-2-normal,3925,3925,3925,3925,3925,3925
f2total-50-m2const-bufcount-big-3-3-normal,3886,3886,3886,3886,3886,3886
f2total-50-m2const-bufcount-mid-3-1-normal,2523,2523,2523,2523,2523,2523
f2total-50-m2const-bufcount-mid-3-2-normal,2555,2555,2555,2555,2555,2555
f2total-50-m2const-bufcount-mid-3-3-normal,2528,2528,2528,2528,2528,2528
f2total-50-m2const-bufcount-small-3-1-normal,1254,1254,1254,1254,1254,1254
f2total-50-m2const-bufcount-small-3-2-normal,1347,1347,1347,1347,1347,1347
f2total-50-m2const-bufcount-small-3-3-normal,1357,1357,1357,1357,1357,1357
f2total-50-m2const-bufm1-big-166-3-normal,4021,4021,4021,4021,4021,4021
f2total-50-m2const-bufm1-big-171-2-normal,4052,4052,4052,4052,4052,4052
f2total-50-m2const-bufm1-big-174-1-normal,4058,4058,4058,4058,4058,4058
f2total-50-m2const-bufm1-mid-111-1-normal,2685,2685,2685,2685,2685,2685
f2total-50-m2const-bufm1-mid-114-3-normal,2710,2710,2710,2710,2710.33333333333,2710
f2total-50-m2const-bufm1-mid-121-2-normal,2711.66666666667,2711,2711,2711,2712.33333333333,2712.33333333333
f2total-50-m2const-bufm1-small-67-1-normal,1310.33333333333,1316.66666666667,1317.33333333333,1296.33333333333,1314.66666666667,1307.33333333333
f2total-50-m2const-bufm1-small-69-3-normal,1405.66666666667,1410,1409,1404,1409.33333333333,1407.33333333333
f2total-50-m2const-bufm1-small-74-2-normal,1369.66666666667,1374,1374.33333333333,1362,1372,1370.66666666667
